BEGIN_DATE_TIME,EVENT_TYPE,CZ_NAME,STATE,CFSDate,IncidentType,ZIP Code
2/4/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2/4/2024,27R - LARCENY THEFT â€“ RETAIL,33125
2/4/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2/4/2024,27R - LARCENY THEFT â€“ RETAIL,33127
2/4/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2/4/2024,27 - LARCENY THEFT,33136
2/4/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2/4/2024,27 - LARCENY THEFT,33126
2/4/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2/4/2024,27 - LARCENY THEFT,33150
2/4/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2/4/2024,27R - LARCENY THEFT â€“ RETAIL,33142
2/4/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2/4/2024,28 - VANDALISM,33130
2/4/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2/4/2024,27V - LARCENY THEFT - MOTOR VEHICLE,33142
2/4/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2/4/2024,22 - STOLEN VEHICLE,33126
2/4/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2/4/2024,28 - VANDALISM,33130
2/4/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2/4/2024,26 - BURGLARY,33127
2/4/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2/4/2024,27V - LARCENY THEFT - MOTOR VEHICLE,33136
3/22/2024,Flood,MIAMI-DADE,FLORIDA,3/22/2024,26O - BURGLARY - OCCUPIED,33150
3/22/2024,Flood,MIAMI-DADE,FLORIDA,3/22/2024,27V - LARCENY THEFT - MOTOR VEHICLE,33127
3/22/2024,Flood,MIAMI-DADE,FLORIDA,3/22/2024,27V - LARCENY THEFT - MOTOR VEHICLE,33127
3/22/2024,Flood,MIAMI-DADE,FLORIDA,3/22/2024,28 - VANDALISM,33127
3/22/2024,Flood,MIAMI-DADE,FLORIDA,3/22/2024,27R - LARCENY THEFT â€“ RETAIL,33137
3/22/2024,Flood,MIAMI-DADE,FLORIDA,3/22/2024,26 - BURGLARY,33130
3/22/2024,Flood,MIAMI-DADE,FLORIDA,3/22/2024,22 - STOLEN VEHICLE,33135
3/22/2024,Flood,MIAMI-DADE,FLORIDA,3/22/2024,27V - LARCENY THEFT - MOTOR VEHICLE,33142
3/22/2024,Flood,MIAMI-DADE,FLORIDA,3/22/2024,27V - LARCENY THEFT - MOTOR VEHICLE,33127
3/22/2024,Flood,MIAMI-DADE,FLORIDA,3/22/2024,28 - VANDALISM,33127
3/22/2024,Flood,MIAMI-DADE,FLORIDA,3/22/2024,22 - STOLEN VEHICLE,33137
3/22/2024,Flood,MIAMI-DADE,FLORIDA,3/22/2024,27 - LARCENY THEFT,33127
3/22/2024,Flood,MIAMI-DADE,FLORIDA,3/22/2024,22 - STOLEN VEHICLE,33145
3/22/2024,Flood,MIAMI-DADE,FLORIDA,3/22/2024,27R - LARCENY THEFT â€“ RETAIL,33132
3/22/2024,Flood,MIAMI-DADE,FLORIDA,3/22/2024,26 - BURGLARY,33142
3/22/2024,Flood,MIAMI-DADE,FLORIDA,3/22/2024,27 - LARCENY THEFT,33149
3/22/2024,Flood,MIAMI-DADE,FLORIDA,3/22/2024,28 - VANDALISM,33127
3/22/2024,Flood,MIAMI-DADE,FLORIDA,3/22/2024,27 - LARCENY THEFT,33130
3/22/2024,Flood,MIAMI-DADE,FLORIDA,3/22/2024,27 - LARCENY THEFT,33132
3/22/2024,Flood,MIAMI-DADE,FLORIDA,3/22/2024,27 - LARCENY THEFT,33136
3/22/2024,Flood,MIAMI-DADE,FLORIDA,3/22/2024,27 - LARCENY THEFT,33125
3/22/2024,Flood,MIAMI-DADE,FLORIDA,3/22/2024,27 - LARCENY THEFT,33127
3/22/2024,Flood,MIAMI-DADE,FLORIDA,3/22/2024,27V - LARCENY THEFT - MOTOR VEHICLE,33127
3/22/2024,Flood,MIAMI-DADE,FLORIDA,3/22/2024,27 - LARCENY THEFT,33127
3/22/2024,Flood,MIAMI-DADE,FLORIDA,3/22/2024,28 - VANDALISM,33125
3/22/2024,Flood,MIAMI-DADE,FLORIDA,3/22/2024,28 - VANDALISM,33131
3/22/2024,Flood,MIAMI-DADE,FLORIDA,3/22/2024,27V - LARCENY THEFT - MOTOR VEHICLE,33135
3/22/2024,Flood,MIAMI-DADE,FLORIDA,3/22/2024,27 - LARCENY THEFT,33126
3/22/2024,Flood,MIAMI-DADE,FLORIDA,3/22/2024,27 - LARCENY THEFT,33133
3/22/2024,Flood,MIAMI-DADE,FLORIDA,3/22/2024,27R - LARCENY THEFT â€“ RETAIL,33133
